Institution,usnews_rank,Private/Public,Resident Tuition,Non-Resident Tuition,Source,Notes,Date
Massachusetts Institute of Technology,4,private,48452.00,48452.00,http://web.mit.edu/facts/tuition.html,,Fall 2016
University of Washington,56,public,16272.00,28320.00,http://www.washington.edu/financialaid/getting-started/student-budgets/,,Fall 2017
University of Maryland - College Park,42,public,10180.00,32044.00,https://www.admissions.umd.edu/finance/costs,,Fall 2017
Stanford University,6,private,48987.00,48987.00,https://registrar.stanford.edu/everyone/enrollment-statistics/enrollment-statistics-2016-17/school-engineering-enrollment-2016-17,,Fall 2016
University of California - Berkeley,8,public,14068.00,42082.00,http://financialaid.berkeley.edu/cost-attendance,,Fall 2017
University of Illinois at Urbana-Champaign,46,public,18370.00,34490.00,https://admissions.illinois.edu/Invest/tuition,,Fall 2017
Georgia Institute of Technology,16,public,10008.00,30604.00,https://www.finaid.gatech.edu/current-cost-overview,,Fall 2017
Northeastern University,N/A,private,48560.00,48560.00,https://studentfinance.northeastern.edu/billing-payments/tuition-and-fees/,,Fall 2017
Cornell University,67,private,35483.00,52853.00,http://finaid.cornell.edu/cost-attend,,Fall 2017
University of Michigan,59,public,14826.00,47476.00,https://admissions.umich.edu/costs-aid/costs,,Fall 2017
Columbia University,62,private,54504.00,54504.00,http://sfs.columbia.edu/tuitions-fees-listing?trf_school=379&year-period=436,,Fall 2017
University of California - San Diego,24,public,14050.00,42064.00,https://students.ucsd.edu/finances/financial-aid/budgeting/undergrad-2017-18.html,,Fall 2017
University of Wisconsin - Madison,34,public,10533.60,34783.20,https://registrar.wisc.edu/tuitionrates/,For 12-18 credits,Fall 2017
University of Texas at Austin,1,public,10286.00,36418.00,https://tuition.utexas.edu/rates/undergraduate,,Fall 2017
University of Southern California,18,private,53448.00,53448.00,"http://catalogue.usc.edu/content.php?catoid=7&navoid=1762#tuition_(semester),_(estimated)",,Fall 2017
University of Pennsylvania,118,private,47416.00,47416.00,http://www.sfs.upenn.edu/paying/cost-of-attendance.htm,,Fall 2017
University of California - Los Angeles,40,public,13260.00,41274.00,http://www.admission.ucla.edu/Prospect/budget.htm,,Fall 2017
Purdue University,60,public,9992.00,28794.00,https://www.admissions.purdue.edu/costsandfinaid/tuitionfees.php,,Fall 2017
Princeton University,19,private,49330.00,49330.00,https://admission.princeton.edu/cost-aid/fees-payment-options,,Fall 2017
Carnegie Mellon University,22,private,52732.00,52732.00,https://www.cmu.edu/sfs/tuition/undergraduate/index.html,,Fall 2017
